# CentralMind Documentation

> CentralMind Gateway Create secured API or MCP Server in Minutes on top of your databases 

## Docs

- [Index](https://docs.centralmind.ai/index)
- [Index](https://docs.centralmind.ai/providers/index)
- [Presidio_anonymizer](https://docs.centralmind.ai/plugins/presidio_anonymizer)
- [Pii_remover](https://docs.centralmind.ai/plugins/pii_remover)
- [Otel](https://docs.centralmind.ai/plugins/otel)
- [Oauth](https://docs.centralmind.ai/plugins/oauth)
- [Lua_rls](https://docs.centralmind.ai/plugins/lua_rls)
- [Lru_cache](https://docs.centralmind.ai/plugins/lru_cache)
- [Index](https://docs.centralmind.ai/plugins/index)
- [Api_keys](https://docs.centralmind.ai/plugins/api_keys)
- [Index](https://docs.centralmind.ai/example/index)
- [Index](https://docs.centralmind.ai/docs/index)
- [Supabase](https://docs.centralmind.ai/connectors/supabase)
- [Sqlite](https://docs.centralmind.ai/connectors/sqlite)
- [Snowflake](https://docs.centralmind.ai/connectors/snowflake)
- [Postgres](https://docs.centralmind.ai/connectors/postgres)
- [Oracle](https://docs.centralmind.ai/connectors/oracle)
- [Neon](https://docs.centralmind.ai/connectors/neon)
- [Mysql](https://docs.centralmind.ai/connectors/mysql)
- [Mssql](https://docs.centralmind.ai/connectors/mssql)
- [Mongodb](https://docs.centralmind.ai/connectors/mongodb)
- [Index](https://docs.centralmind.ai/connectors/index)
- [Elasticsearch](https://docs.centralmind.ai/connectors/elasticsearch)
- [Duckdb](https://docs.centralmind.ai/connectors/duckdb)
- [Clickhouse](https://docs.centralmind.ai/connectors/clickhouse)
- [Bigquery](https://docs.centralmind.ai/connectors/bigquery)
- [Index](https://docs.centralmind.ai/cli/index)
- [Index](https://docs.centralmind.ai/providers/openai/index)
- [Index](https://docs.centralmind.ai/providers/local-models/index)
- [Index](https://docs.centralmind.ai/providers/gemini/index)
- [Index](https://docs.centralmind.ai/providers/bedrock/index)
- [Index](https://docs.centralmind.ai/providers/anthropic-vertexai/index)
- [Index](https://docs.centralmind.ai/providers/anthropic/index)
- [Index](https://docs.centralmind.ai/helm/gateway/index)
- [Index](https://docs.centralmind.ai/example/snowflake/index)
- [Index](https://docs.centralmind.ai/example/simple/index)
- [Index](https://docs.centralmind.ai/example/postgresql-ecommerce-sample/index)
- [Index](https://docs.centralmind.ai/example/postgresql-dvdstore-sample/index)
- [Index](https://docs.centralmind.ai/example/k8s/index)
- [Index](https://docs.centralmind.ai/example/complex/index)
- [Index](https://docs.centralmind.ai/docs/content/legal/terms/index)
- [Index](https://docs.centralmind.ai/docs/content/legal/privacy/index)
- [Index](https://docs.centralmind.ai/docs/content/legal/cookie/index)
- [Index](https://docs.centralmind.ai/docs/content/integration/llamaindex/index)
- [Index](https://docs.centralmind.ai/docs/content/integration/langchain/index)
- [Index](https://docs.centralmind.ai/docs/content/integration/cursor-raw/index)
- [Index](https://docs.centralmind.ai/docs/content/integration/cursor/index)
- [Index](https://docs.centralmind.ai/docs/content/integration/claude-desktop/index)
- [Index](https://docs.centralmind.ai/docs/content/integration/chatgpt/index)
- [Index](https://docs.centralmind.ai/docs/content/getting-started/running-mcp-raw/index)
- [Index](https://docs.centralmind.ai/docs/content/getting-started/quickstart/index)
- [Index](https://docs.centralmind.ai/docs/content/getting-started/launching-api/index)
- [Index](https://docs.centralmind.ai/docs/content/getting-started/installation/index)
- [Index](https://docs.centralmind.ai/docs/content/getting-started/generating-api/index)

## Optional

- [CentralMind Website](https://centralmind.ai/)
- [CentralMind Gateway GitHub](https://github.com/centralmind/gateway)

